"codigo";"nome";"descricao";"mnemonico";"tipo";"itemexame";"sr_recno"
41.0;IGG ANTI - CITOMEGALOVÍRUS;PESQUISA DE IGG ANTI - CITOMEGALOVÍRUS;CMVIGG;IMUNOLÓGICO;0;47
42.0;TGO (AST);DETERMINAÇÃO QUANTITATIVA DE TGO (AST);TGO;BIOQUÍMICA;0;48
43.0;IGM ANTI – RUBELLA VÍRUS;PESQUISA DE IGM ANTI – RUBELLA VIRUS;RUBM;IMUNOLÓGICO;0;49
44.0;PROLACTINA;DETERMINAÇÃO QUANTITATIVA DE PROLACTINA;PROL;DOSAGEM HORMONAL;0;50
45.0;IGG ANTI – RUBELLA VÍRUS;PESQUISA DE IGG ANTI – RUBELLA VIRUS;RUBG;IMUNOLÓGICO;0;51
46.0;CK;DETERMINAÇÃO QUANTITATIVA DE CK;CK;BIOQUÍMICA;0;52
47.0;CKMB;DETERMINAÇÃO QUANTITATIVA DE CKMB;CKMB;BIOQUÍMICA;0;53
48.0;IGM ANTI – TOXOPLASMA GONDII;PESQUISA DE IGM ANTI – TOXOPLASMA GONDII;TOXOM;IMUNOLÓGICO;0;54
49.0;CREATININA;DETERMINAÇÃO QUANTITATIVA DE CREATININA;CR;BIOQUÍMICA;0;55
50.0;IGG ANTI – TOXOPLASMA GONDII;PESQUISA DE IGG ANTI – TOXOPLASMA GONDII;TOXOG;IMUNOLÓGICO;0;56
52.0;LH;DETERMINAÇÃO QUANTITATIVA DE LH;LH;DOSAGEM HORMONAL;0;57
53.0;LIPASE;DETERMINAÇÃO QUANTITATIVA DE LIPASE;LIP;BIOQUÍMICA;0;58
55.0;MAGNÉSIO;DETERMINAÇÃO QUANTITATIVA MAGNÉSIO;MAG;BIOQUÍMICA;0;59
56.0;ESTRADIOL;DETERMINAÇÃO QUANTITATIVA DE ESTRADIOL;EST;BIOQUÍMICA;0;60
58.0;PARATORMÔNIO;DETERMINAÇÃO QUANTITATIVA PARATORMÔNIO;PTH;DOSAGEM HORMONAL;0;61
61.0;FATOR REUMATÓIDE;DETERMINAÇÃO QUANTITATIVA DE FATOR REUMATÓIDE;FRL;BIOQUÍMICA;0;62
62.0;SÓDIO;DETERMINAÇÃO QUANTITATIVA DE SÓDIO;SOD;BIOQUÍMICA;0;63
63.0;FATOR DU;PESQUISA DE FATOR Du;TIPA;IMUNOHEMATOLÓGICO;0;64
64.0;TESTOSTERONA;DETERMINAÇÃO QUANTITATIVA DE TESTOSTERONA;TESTO;DOSAGEM HORMONAL;0;65
65.0;FATOR RH;PESQUISA DE FATOR RH;FATORRH;IMUNOHEMATOLÓGICO;0;66
66.0;FERRITINA;DETERMINAÇÃO QUANTITATIVA DE FERRITINA;FERRI;BIOQUÍMICA;0;67
67.0;TEMPO DE TROMBOPLASTINA PARCIAL ATIVADA;TEMPO DE TROMBOPLASTINA PARCIAL ATIVADO;KPTT;BIOQUÍMICA;0;68
68.0;HBSAG;PESQUISA DO ANTÍGENO DE SUPERFÍCIE DA HEPATITE B -...;HBSA;IMUNOLÓGICO;0;69
69.0;PROTEINÚRIA DE 24 HORAS;DETERMINAÇÃO QUANTITATIVA PROTEINÚRIA DE 24 HORAS;PTU24;BIOQUÍMICA;0;70
69.0;Resultado;DETERMINAÇÃO QUANTITATIVA PROTEINÚRIA DE 24 HORAS;PTU24RES;BIOQUÍMICA;1;71
