code,complexity,sex_restriction,minimum_age_months,maximum_age_months,description
0604390033,I,I,0,1571,"ALFAINTERFERONA 2B 10.000.000 UI INJETAVEL (POR FRASCO-AMPOLA)"
0604390084,I,I,0,1571,"BETAINTERFERONA 1A 6.000.000 UI (22 MCG) INJETAVEL (POR SERINGA PREENCHIDA)"
0604390092,I,I,0,1571,"BETAINTERFERONA 1A 6.000.000 UI (30 MCG) INJETAVEL (POR FRASCO-AMPOLA, SERINGA PREENCHIDA OU CANETA PREENCHIDA)"
0604390106,I,I,0,1571,"BETAINTERFERONA 1A 12.000.000 UI (44 MCG) INJETAVEL (POR SERINGA PREENCHIDA)"
0604390114,I,I,0,1571,"BETAINTERFERONA 1B 9.600.000 UI (300MCG) INJETAVEL (POR FRASCO-AMPOLA)"
0604400012,I,I,12,1571,"SEVELAMER 800 MG (POR COMPRIMIDO)"
0604410018,I,I,0,1571,"METADONA 5 MG (POR COMPRIMIDO)"
0604410026,I,I,0,1571,"METADONA 10 MG (POR COMPRIMIDO)"
0604410034,I,I,0,1571,"METADONA 10 MG/ML INJETAVEL (POR AMPOLA DE 1 ML)"
0604420013,I,I,0,1571,"FLUDROCORTISONA 0,1 MG (POR COMPRIMIDO)"
0604430019,I,I,0,1571,"RALOXIFENO 60 MG (POR COMPRIMIDO)"
0604440014,I,I,0,1571,"ALFADORNASE 2,5 MG (POR AMPOLA)"
0604470010,I,I,0,1571,"ALFAEPOETINA 1.000 UI INJETAVEL (POR FRASCO-AMPOLA)"
0604470029,I,I,0,1571,"ALFAEPOETINA 2.000 UI INJETAVEL (POR FRASCO-AMPOLA)"
0604470037,I,I,0,1571,"ALFAEPOETINA 3.000 UI INJETAVEL (POR FRASCO-AMPOLA)"
0604470045,I,I,0,1571,"ALFAEPOETINA 4.000 UI INJETAVEL (POR FRASCO-AMPOLA)"
0604470053,I,I,0,1571,"ALFAEPOETINA 10.000 UI INJETAVEL (POR FRASCO-AMPOLA)"
0604480016,I,I,0,1571,"HIDROXIUREIA 500 MG (POR CAPSULA)"
0604480024,I,I,0,1571,"HIDROXIUREIA 100 MG (POR COMPRIMIDO REVESTIDO)"
0604490011,I,I,0,1571,"ENTACAPONA 200 MG (POR COMPRIMIDO)"
0604490020,I,I,0,1571,"TOLCAPONA 100 MG (POR COMPRIMIDO)"
0604500017,I,I,36,1571,"GABAPENTINA 300 MG (POR CAPSULA)"
0604500025,I,I,36,1571,"GABAPENTINA 400 MG (POR CAPSULA)"
0604500033,I,I,24,1571,"LAMOTRIGINA 25 MG (POR COMPRIMIDO)"
0604500041,I,I,24,1571,"LAMOTRIGINA 50 MG (POR COMPRIMIDO)"
0604500050,I,I,24,1571,"LAMOTRIGINA 100 MG (POR COMPRIMIDO)"
0604500068,I,I,0,1571,"TOPIRAMATO 25 MG (POR COMPRIMIDO)"
0604500076,I,I,0,1571,"TOPIRAMATO 50 MG (POR COMPRIMIDO)"
0604500084,I,I,0,1571,"TOPIRAMATO 100 MG (POR COMPRIMIDO)"
0604500092,I,I,0,1571,"LEVETIRACETAM 100 MG /ML SOLUÇÃO ORAL (POR FRASCO DE 150 ML)"
0604500106,I,I,0,1571,"LEVETIRACETAM 250 MG (POR COMPRIMIDO)"
0604500114,I,I,0,1571,"LEVETIRACETAM 750 MG (POR COMPRIMIDO)"
0604500122,I,I,0,1571,"LEVETIRACETAM 100 MG/ML SOLUÇÃO ORAL (POR FRASCO DE 100 ML)"
0604500130,I,I,0,1571,"LEVETIRACETAM 500 MG (POR COMPRIMIDO)"
